timestamp,dx,dy,label
1726057430.0761387,54,37,0
1726057430.1446147,60,37,0
1726057430.2145183,63,37,0
1726057430.2829125,62,36,0
1726057430.3784034,55,36,0
1726057431.8737955,-51,35,1
1726057431.9510405,-50,33,0
1726057432.0259297,-47,31,0
1726057437.8847847,-21,31,0
1726057437.935973,-19,30,0
1726057438.0157533,-18,30,0
1726057438.0828145,-18,29,0
1726057438.1475358,-18,28,0
1726057438.2121367,-18,27,0
1726057438.278763,-19,26,0
1726057438.34245,-18,25,0
1726057438.4241035,-20,24,0
1726057438.5003724,-21,27,0
1726057438.5779305,-22,28,0
1726057438.6549392,-20,28,0
1726057438.7380233,-17,31,0
1726057438.8194742,-12,36,0
1726057438.9012482,-15,40,0
1726057438.9734216,-18,42,0
1726057439.1580942,-37,39,0
1726057439.2720437,-44,30,0
1726057439.3410068,-42,28,0
1726057439.4263155,-34,26,0
1726057439.5191858,-29,23,0
1726057439.609764,-26,23,0
1726057439.6944258,-14,20,0
1726057439.783822,-10,22,0
1726057439.8705597,-13,26,0
1726057439.9549634,-23,30,0
1726057440.0334375,-24,33,0
1726057440.1109676,-19,30,0
1726057440.191591,-23,27,0
1726057440.2707915,-29,34,0
1726057440.3463073,-45,36,0
1726057440.4399807,-61,25,0
1726057440.5607357,-54,21,0
1726057440.6400723,-28,25,0
1726057440.7218094,0,30,0
1726057440.8428836,43,43,0
1726057440.9254718,47,44,0
1726057441.006729,48,41,0
1726057441.079435,37,40,0
1726057441.1486206,18,41,0
1726057441.2663891,9,39,0
1726057441.3462706,-14,34,0
1726057441.5199254,-44,32,0
1726057441.8473456,-30,26,0
1726057441.9184322,-19,26,0
1726057441.9939735,-5,27,0
1726057442.077244,4,27,0
1726057442.161911,15,26,0
1726057442.2478318,18,27,0
1726057442.370933,23,28,0
1726057442.4430556,21,30,0
1726057442.5589988,8,31,0
1726057442.6331627,-19,32,0
1726057442.73342,-46,34,0
1726057442.9995356,-41,19,0
1726057443.081156,-12,0,0
1726057443.1633196,2,-10,0
1726057443.237457,19,-24,0
1726057443.3133872,29,-34,0
1726057443.3856878,35,-40,0
1726057443.537499,17,-43,0
1726057444.6475022,-44,-26,1
1726057444.740312,-48,-31,0
1726057444.8307574,-51,-33,0
1726057444.925481,-53,-29,0
1726057445.019015,-52,-24,0
1726057445.1096177,-48,-13,0
1726057445.7341716,-20,41,1
1726057446.6797023,-55,15,0
1726057446.8202322,-32,10,0
1726057446.8958309,-25,7,0
1726057446.982205,-18,3,0
1726057447.0654774,-15,3,0
1726057447.173118,-11,7,0
1726057447.2743492,-8,16,0
1726057447.3608687,-20,39,0
1726057447.696523,-22,43,0
1726057447.7723815,-26,39,0
1726057447.8527262,-29,37,0
1726057447.944714,-29,34,0
1726057448.0296357,-24,31,0
1726057448.1314402,-22,25,0
1726057448.222006,-7,18,0
1726057448.3093808,0,13,0
1726057448.3945606,13,24,0
1726057448.486309,23,33,0
1726057448.5725007,46,33,0
1726057448.650386,62,42,0
1726057448.7180777,68,41,0
1726057448.8074677,57,37,0
1726057448.880684,38,36,0
1726057448.948336,13,33,0
1726057449.020853,-12,33,0
1726057449.090095,-34,34,0
1726057449.1670814,-50,34,0
1726057449.3972657,-60,32,0
1726057449.4786415,-39,34,0
1726057449.557635,-14,34,0
1726057449.6349535,8,37,0
1726057449.7126882,23,39,0
1726057449.7955616,37,39,0
1726057449.8659234,52,39,0
1726057449.9383028,59,37,0
1726057450.0088382,51,35,0
1726057450.082055,31,33,0
1726057450.1532311,6,31,0
1726057450.2141676,-19,30,0
1726057450.2543786,-41,29,0
1726057450.4249902,-53,40,0
1726057450.5133765,-44,42,0
1726057450.5959811,-36,42,0
1726057450.680277,-27,42,0
1726057450.7518444,-15,43,0
1726057450.8289027,-6,42,0
1726057450.9056644,13,43,0
