timestamp,dx,dy
1726047024.9021542,-53,88
1726047024.933534,-59,89
1726047024.968455,-68,93
1726047025.0020936,-69,88
1726047025.030593,-78,92
1726047025.0620892,-81,89
1726047025.0928845,-92,94
1726047025.126559,-93,90
1726047025.1594656,-101,91
1726047025.193507,-109,94
1726047025.2234948,-111,90
1726047025.271511,-116,89
1726047025.3022945,-124,91
1726047025.335239,-128,90
1726047025.3648872,-132,90
1726047025.3970957,-135,89
1726047025.4296117,-141,91
1726047025.460343,-144,90
1726047025.4951315,-146,89
1726047025.5299418,-152,92
1726047025.5572455,-155,92
1726047025.591018,-158,93
1726047025.6242304,-159,94
1726047025.657355,-154,92
1726047025.6865385,-155,94
1726047025.7183924,-152,95
1726047025.7817738,-143,97
1726047025.7967637,-143,97
1726047025.8292623,-137,97
1726047025.8630443,-132,99
1726047025.8955357,-127,101
1726047025.928144,-121,100
1726047025.9602804,-115,100
1726047025.9902627,-108,99
1726047026.024102,-101,98
1726047026.0542617,-95,97
1726047026.0861423,-89,96
1726047026.11817,-83,94
1726047026.1823676,-73,91
1726047026.2175775,-70,91
1726047026.2469344,-68,91
1726047026.2779267,-64,88
1726047026.3109872,-59,85
1726047026.3266873,-59,85
1726047026.3571665,-58,87
1726047026.3909926,-55,86
1726047026.424907,-51,83
1726047026.4557502,-48,81
1726047026.487164,-45,82
1726047026.5149767,-40,78
1726047026.582809,-32,76
1726047026.6142447,-28,77
1726047026.647959,-22,74
1726047026.6783834,-17,75
1726047026.7116823,-12,72
1726047026.742868,-7,74
1726047026.7736838,0,72
1726047026.8076541,5,72
1726047026.8373458,10,74
1726047026.874099,16,75
1726047026.8921092,16,75
1726047026.9205635,22,76
1726047026.9816422,33,74
1726047027.0132046,37,74
1726047027.0476139,43,75
1726047027.0782137,45,72
1726047027.1090288,50,73
1726047027.1421647,52,70
1726047027.175109,54,69
1726047027.2072515,57,70
1726047027.2390666,56,69
1726047027.3025012,58,70
1726047027.3359878,57,69
1726047027.368114,53,66
1726047027.3988764,50,68
1726047027.4476948,47,69
1726047027.479257,41,67
1726047027.5110576,36,67
1726047027.542027,29,68
