1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]"
"[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]"
"[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]"
"[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]"
"[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]"
"[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]"
"[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]"
"[-121, 78, 0]","[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]"
"[-123, 79, 74]","[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]"
"[-123, 79, 0]","[-121, 77, 90]","[-121, 77, 0]","[-123, 78, 49]","[-123, 78, 0]","[-125, 81, 116]","[-125, 81, 0]","[-122, 79, 114]","[-122, 79, 0]","[-121, 78, 44]","[-121, 78, 0]","[-123, 80, 59]","[-123, 80, 0]","[-123, 80, 0]","[-123, 81, 16]","[-123, 81, 0]","[-21, 38, 165]","[-21, 38, 0]","[-13, 40, 130]","[-13, 40, 0]"
